sheet_name,participant_id,version,sentence_id,stimulus,transcription,human_score,auto_score,rationale
10_vA,10,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros nos [fas-] fascina fiestas grandiosas [-grandiosas],3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
10_vB,10,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",Después de comer [siempre-] siempre tienes que lavarte los dientes,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
12_vA,12,vA,1,Quiero cortarme el pelo (7),[Quiero cort-] quiero cortar mi pelo,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
15_vA,15,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la y luego [sigue-] sigue todo recto,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
15_vA,15,vA,21,Una amiga mía cuida a los niños de mi vecino (16),[Una amiga miga-] Una amiga mía a los hijos de mi vecino,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
16_vA,16,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros los frascinan las fiestas grandiosas,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
16_vB,16,vB,27,Le pedí a mi hermana que me ayudara en la casa. (17),Le pedí a mi hermana que [m-] me hayudara a limpiar la casa,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
17_vB,17,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe que golpeo al empleado era gordo,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
18_vA,18,vA,1,Quiero cortarme el pelo (7),Quiero cortar mi pelo,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
18_vB,18,vB,3,La tarea la tiene Carla. (8),La trarea tiene carla,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
18_vB,18,vB,5,¿Qué dijo que iba a acabar hoy? (9),Qué dijo acabar hoy,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
18_vB,18,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche [eh] mi familia,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=4, overlap=0.75)"
18_vB,18,vB,18,Él ha empezado a entrenar con sus amigos. (15),El ha empezado con sus amigos,1.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
19_vA,19,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa en cual viven mis animales,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
19_vA,19,vA,16,Me gustaría que el precio de las casas bajara (15),Me gustaría si [la-] los precios de las casas bajara,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
19_vA,19,vA,21,Una amiga mía cuida a los niños de mi vecino (16),Una amiga mío cuida a los hijos de mi vecino,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
19_vA,19,vA,22,El gato que era negro fue perseguido por el perro (16),El gato el que era negro fue percivido por el perro negro,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
20_vB,20,vB,30,Hay muchas personas que se quedan en casa si nieva mucho. (18),Hay personas que se quedan en casa si nueva mucho,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
21_vB,21,vB,24,La cantidad de personas que votan ha incrementado. (17),La cantidad de personas que votan [xxxxx],2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.75)"
22_vB,22,vB,14,A ellos les encantan los libros de romance. (14),A ellos le encantan los libros  de romancia,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
23_vA,23,vA,3,El carro lo tiene Pedro (8),El carro no tiene perro,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
23_vA,23,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros les fascinan las fiestas,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
23_vA,23,vA,15,Ella sólo bebe cerveza y no come nada (15),Ella sola bebe cerveza y no como nada,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
