participant_id,version,sentence_id,stimulus,transcription,human_score,auto_score,rationale
4,vB,12,Antes de correr me comí una manzana. (13),Antes de correr [...] como manzana,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
5,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y despues sigue derecto,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
5,vA,19,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría para hacer más calor pronto,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
5,vA,22,El gato que era negro fue perseguido por el perro (16),El gato que era negro fue [pers-] perseguiro del perro,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
5,vA,26,El ladrón al que atrapó la policía era famoso (17),El ladrón a que trope el policía es famoso,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
5,vA,27,Le pedí a un amigo que me ayudara con la tarea (17),Le pedí a un amigo que me ayuda en la tarea,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
5,vB,6,Dudo que sepan hablar Portugués. (10),Dudo seper hablar portugués,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
5,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche en que quepe mi familia,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
7,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa [en- donde viven-] en que viven mis animales,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
7,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y después siga todo derecho,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
7,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe que atacó el [emp- empli-] empleao era gordo,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
8,vA,3,El carro lo tiene Pedro (8),El carro no tiene perro,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
