participant_id,version,sentence_id,stimulus,transcription,human_score,auto_score,rationale
1,vA,1,Quiero cortarme el pelo (7),,,0,No response / empty transcription
1,vA,2,El libro está en la mesa (7),,,0,No response / empty transcription
1,vA,3,El carro lo tiene Pedro (8),,,0,No response / empty transcription
1,vA,4,El se ducha cada mañana (9),,,0,No response / empty transcription
1,vA,5,¿Qué dice usted que va a hacer hoy? (9),,,0,No response / empty transcription
1,vA,6,Dudo que sepa manejar muy bien (10),,,0,No response / empty transcription
1,vA,7,Las calles de esta ciudad son muy anchas (11),,,0,No response / empty transcription
1,vA,8, Puede que llueva mañana todo el día (12),,,0,No response / empty transcription
1,vA,9,Las casas son muy bonitas pero caras (12),,,0,No response / empty transcription
1,vA,10,Me gustan las películas que acaban bien (12),,,0,No response / empty transcription
1,vA,11,El chico con el que yo salgo es español (13),,,0,No response / empty transcription
1,vA,12,Después de cenar me fui a dormir tranquilo (13),,,0,No response / empty transcription
1,vA,13,Quiero una casa en la que vivan mis animales (14),,,0,No response / empty transcription
1,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),,,0,No response / empty transcription
1,vA,15,Ella sólo bebe cerveza y no come nada (15),,,0,No response / empty transcription
1,vA,16,Me gustaría que el precio de las casas bajara (15),,,0,No response / empty transcription
1,vA,17,Cruza a la derecha y después sigue todo recto (15),,,0,No response / empty transcription
1,vA,18,Ella ha terminado de pintar su apartamento (15),,,0,No response / empty transcription
1,vA,19,Me gustaría que empezara a hacer más calor pronto (15),,,0,No response / empty transcription
1,vA,20,El niño al que se le murió el gato está triste (16),,,0,No response / empty transcription
1,vA,21,Una amiga mía cuida a los niños de mi vecino (16),,,0,No response / empty transcription
1,vA,22,El gato que era negro fue perseguido por el perro (16),,,0,No response / empty transcription
1,vA,23,Antes de poder salir él tiene que limpiar su cuarto (16),,,0,No response / empty transcription
1,vA,24,La cantidad de personas que fuman ha disminuido (17),,,0,No response / empty transcription
1,vA,25,Después de llegar a casa del trabajo tomé la cena (17),,,0,No response / empty transcription
1,vA,26,El ladrón al que atrapó la policía era famoso (17),,,0,No response / empty transcription
1,vA,27,Le pedí a un amigo que me ayudara con la tarea (17),,,0,No response / empty transcription
1,vA,28,El examen no fue tan difícil como me habían dicho (17),,,0,No response / empty transcription
1,vA,29,¿Serías tan amable de darme el libro que está en la mesa? (17),,,0,No response / empty transcription
1,vA,30,Hay mucha gente que no toma nada para el desayuno (17),,,0,No response / empty transcription
1,vB,1,Quiero comerme el huevo. (7) ,,,0,No response / empty transcription
1,vB,2,El pez está en la sala. (7),,,0,No response / empty transcription
1,vB,3,La tarea la tiene Carla. (8),,,0,No response / empty transcription
1,vB,4,Él se duerme por la tarde. (8),,,0,No response / empty transcription
1,vB,5,¿Qué dijo que iba a acabar hoy? (9),,,0,No response / empty transcription
1,vB,6,Dudo que sepan hablar Portugués. (10),,,0,No response / empty transcription
1,vB,7,Las casas de este país son muy grandes. (11),,,0,No response / empty transcription
1,vB,8,Puede que haga mucho calor esta noche. (12),,,0,No response / empty transcription
1,vB,9,Los coches son muy baratos pero feos. (12),,,0,No response / empty transcription
1,vB,10,Me gusta la comida que es saludable. (12),,,0,No response / empty transcription
1,vB,11,La chica con la que yo bailo es chilena. (13),,,0,No response / empty transcription
1,vB,12,Antes de correr me comí una manzana. (13),,,0,No response / empty transcription
1,vB,13,Quiero un coche en el que quepa mi familia. (14),,,0,No response / empty transcription
1,vB,14,A ellos les encantan los libros de romance. (14),,,0,No response / empty transcription
1,vB,15,Él siempre tiene hambre porque no sabe cocinar. (15),,,0,No response / empty transcription
1,vB,16,Me gustaría que el hijo de mi tía comiera. (15),,,0,No response / empty transcription
1,vB,17,Cruce la calle y después vaya a la derecha. (15),,,0,No response / empty transcription
1,vB,18,Él ha empezado a entrenar con sus amigos. (15),,,0,No response / empty transcription
1,vB,19,Me gustaría que el semestre terminara pronto. (15),,,0,No response / empty transcription
1,vB,20,El bebé al que se le cayó la manta tiene frío. (16),,,0,No response / empty transcription
1,vB,21,Una amiga mía va a la capital con sus sobrinos. (16),,,0,No response / empty transcription
1,vB,22,La princesa que era muy bonita fue rescatada. (16),,,0,No response / empty transcription
1,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",,,0,No response / empty transcription
1,vB,24,La cantidad de personas que votan ha incrementado. (17),,,0,No response / empty transcription
1,vB,25,Antes de poder salir de la casa busqué mis llaves. (17),,,0,No response / empty transcription
1,vB,26,El jefe al que atacó el empleado era gordo. (17),,,0,No response / empty transcription
1,vB,27,Le pedí a mi hermana que me ayudara en la casa. (17),,,0,No response / empty transcription
1,vB,28,El trabajo no fue tan fácil como me habían dicho. (17),,,0,No response / empty transcription
1,vB,29,¿Te importaría traerme el café que dejé en la cocina? (18),,,0,No response / empty transcription
1,vB,30,Hay muchas personas que se quedan en casa si nieva mucho. (18),,,0,No response / empty transcription
2,vA,1,Quiero cortarme el pelo (7),,,0,No response / empty transcription
2,vA,2,El libro está en la mesa (7),,,0,No response / empty transcription
2,vA,3,El carro lo tiene Pedro (8),,,0,No response / empty transcription
2,vA,4,El se ducha cada mañana (9),,,0,No response / empty transcription
2,vA,5,¿Qué dice usted que va a hacer hoy? (9),,,0,No response / empty transcription
2,vA,6,Dudo que sepa manejar muy bien (10),,,0,No response / empty transcription
2,vA,7,Las calles de esta ciudad son muy anchas (11),,,0,No response / empty transcription
2,vA,8, Puede que llueva mañana todo el día (12),,,0,No response / empty transcription
2,vA,9,Las casas son muy bonitas pero caras (12),,,0,No response / empty transcription
2,vA,10,Me gustan las películas que acaban bien (12),,,0,No response / empty transcription
2,vA,11,El chico con el que yo salgo es español (13),,,0,No response / empty transcription
2,vA,12,Después de cenar me fui a dormir tranquilo (13),,,0,No response / empty transcription
2,vA,13,Quiero una casa en la que vivan mis animales (14),,,0,No response / empty transcription
2,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),,,0,No response / empty transcription
2,vA,15,Ella sólo bebe cerveza y no come nada (15),,,0,No response / empty transcription
2,vA,16,Me gustaría que el precio de las casas bajara (15),,,0,No response / empty transcription
2,vA,17,Cruza a la derecha y después sigue todo recto (15),,,0,No response / empty transcription
2,vA,18,Ella ha terminado de pintar su apartamento (15),,,0,No response / empty transcription
2,vA,19,Me gustaría que empezara a hacer más calor pronto (15),,,0,No response / empty transcription
2,vA,20,El niño al que se le murió el gato está triste (16),,,0,No response / empty transcription
2,vA,21,Una amiga mía cuida a los niños de mi vecino (16),,,0,No response / empty transcription
2,vA,22,El gato que era negro fue perseguido por el perro (16),,,0,No response / empty transcription
2,vA,23,Antes de poder salir él tiene que limpiar su cuarto (16),,,0,No response / empty transcription
2,vA,24,La cantidad de personas que fuman ha disminuido (17),,,0,No response / empty transcription
2,vA,25,Después de llegar a casa del trabajo tomé la cena (17),,,0,No response / empty transcription
2,vA,26,El ladrón al que atrapó la policía era famoso (17),,,0,No response / empty transcription
2,vA,27,Le pedí a un amigo que me ayudara con la tarea (17),,,0,No response / empty transcription
2,vA,28,El examen no fue tan difícil como me habían dicho (17),,,0,No response / empty transcription
2,vA,29,¿Serías tan amable de darme el libro que está en la mesa? (17),,,0,No response / empty transcription
2,vA,30,Hay mucha gente que no toma nada para el desayuno (17),,,0,No response / empty transcription
2,vB,1,Quiero comerme el huevo. (7) ,,,0,No response / empty transcription
2,vB,2,El pez está en la sala. (7),,,0,No response / empty transcription
2,vB,3,La tarea la tiene Carla. (8),,,0,No response / empty transcription
2,vB,4,Él se duerme por la tarde. (8),,,0,No response / empty transcription
2,vB,5,¿Qué dijo que iba a acabar hoy? (9),,,0,No response / empty transcription
2,vB,6,Dudo que sepan hablar Portugués. (10),,,0,No response / empty transcription
2,vB,7,Las casas de este país son muy grandes. (11),,,0,No response / empty transcription
2,vB,8,Puede que haga mucho calor esta noche. (12),,,0,No response / empty transcription
2,vB,9,Los coches son muy baratos pero feos. (12),,,0,No response / empty transcription
2,vB,10,Me gusta la comida que es saludable. (12),,,0,No response / empty transcription
2,vB,11,La chica con la que yo bailo es chilena. (13),,,0,No response / empty transcription
2,vB,12,Antes de correr me comí una manzana. (13),,,0,No response / empty transcription
2,vB,13,Quiero un coche en el que quepa mi familia. (14),,,0,No response / empty transcription
2,vB,14,A ellos les encantan los libros de romance. (14),,,0,No response / empty transcription
2,vB,15,Él siempre tiene hambre porque no sabe cocinar. (15),,,0,No response / empty transcription
2,vB,16,Me gustaría que el hijo de mi tía comiera. (15),,,0,No response / empty transcription
2,vB,17,Cruce la calle y después vaya a la derecha. (15),,,0,No response / empty transcription
2,vB,18,Él ha empezado a entrenar con sus amigos. (15),,,0,No response / empty transcription
2,vB,19,Me gustaría que el semestre terminara pronto. (15),,,0,No response / empty transcription
2,vB,20,El bebé al que se le cayó la manta tiene frío. (16),,,0,No response / empty transcription
2,vB,21,Una amiga mía va a la capital con sus sobrinos. (16),,,0,No response / empty transcription
2,vB,22,La princesa que era muy bonita fue rescatada. (16),,,0,No response / empty transcription
2,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",,,0,No response / empty transcription
2,vB,24,La cantidad de personas que votan ha incrementado. (17),,,0,No response / empty transcription
2,vB,25,Antes de poder salir de la casa busqué mis llaves. (17),,,0,No response / empty transcription
2,vB,26,El jefe al que atacó el empleado era gordo. (17),,,0,No response / empty transcription
2,vB,27,Le pedí a mi hermana que me ayudara en la casa. (17),,,0,No response / empty transcription
2,vB,28,El trabajo no fue tan fácil como me habían dicho. (17),,,0,No response / empty transcription
2,vB,29,¿Te importaría traerme el café que dejé en la cocina? (18),,,0,No response / empty transcription
2,vB,30,Hay muchas personas que se quedan en casa si nieva mucho. (18),,,0,No response / empty transcription
